ts,event_type,user_id,date_from,date_to,origin,destination,num_adults,num_children
2017-04-27 11:06:51,search,60225f,2017-06-01,2017-06-07,PAR,NYC,6,1
2017-04-27 20:15:27,book,e5d69e,2017-08-12,2017-09-02,FRA,WAS,3,1
2017-04-27 23:03:43,book,f953f0,2017-10-08,2017-10-11,BER,CGN,2,0
2017-04-27 15:17:50,book,794d35,2017-04-28,2017-05-01,BER,BCN,1,0
2017-04-27 22:51:57,book,ca4f94,2017-05-16,2017-05-22,DEL,BKK,4,0
2017-04-29 23:44:46,book,0dac26,2017-05-02,2017-05-02,BER,SCL,1,0
2017-04-29 23:12:34,search,7690da,2018-01-24,2018-01-26,SXF,VIE,2,0
2017-04-29 18:13:24,search,a4b138,2017-06-14,2017-06-14,HAM,ARN,2,0
2017-04-29 21:31:31,search,6df4fb,2017-10-12,2017-10-23,DUS,PMI,2,0
2017-04-29 18:56:35,search,eec403,2017-05-03,2017-05-06,HAM,LGW,1,0
2017-04-29 13:10:00,search,b55149,2017-05-16,2017-05-16,PAR,OPO,1,0
2017-04-29 18:35:31,book,2b798b,2017-06-23,2017-07-03,BER,ATL,1,0
2017-04-29 21:44:15,book,be8115,2017-06-15,2017-06-15,BER,CHI,2,0
2017-04-29 11:35:05,book,476713,2017-05-31,2017-06-13,PAR,ATH,1,0
2017-04-30 01:21:46,search,422e7b,2017-05-07,2017-05-07,DLC,BJS,2,0
2017-04-29 23:42:10,search,5c5387,2017-05-30,2017-05-30,OSL,MCO,1,0
2017-04-30 01:35:45,search,231759,2017-04-30,2017-05-02,ORY,OPO,1,0
2017-04-29 18:41:12,search,e1351a,2017-06-04,2017-06-04,CPH,MUC,2,0
2017-04-29 22:50:09,search,08858a,2017-05-25,2017-06-09,STR,MNL,1,0
2017-04-29 18:59:19,search,23b993,2017-05-06,2017-05-06,IZM,FRA,1,0
2017-04-29 14:31:46,search,6f3d72,2018-01-28,2018-02-15,AMS,HNL,2,0
2017-04-29 18:52:44,book,f91611,2017-07-24,2017-07-29,HAM,YMQ,2,0
2017-04-29 23:30:21,search,6df8ec,2017-05-05,2017-05-05,STR,DXB,1,0
2017-04-29 21:48:02,search,613d13,2017-04-30,2017-04-30,PAR,BCN,1,0
2017-04-28 23:39:29,search,b1fa67,2017-05-28,2017-06-12,BKK,HKT,5,0
2017-04-28 21:29:15,search,33d1da,2017-11-04,2017-11-18,FRA,BUE,2,0
2017-04-29 00:08:58,search,f00d62,2017-06-28,2017-07-03,BER,OPO,2,0
2017-04-29 00:24:16,search,dea471,2017-05-05,2017-05-05,MOW,STR,1,0
2017-04-28 11:24:22,search,6b4d3b,2017-05-01,2017-05-04,PAR,DXB,1,0
2017-04-29 02:36:43,search,a5b350,2017-06-01,2017-06-04,FRA,VCE,2,0
2017-04-28 11:17:11,search,8e2dab,2017-05-31,2017-06-02,PAR,NCE,1,0
2017-04-28 17:12:47,search,baaaac,2017-07-27,2017-07-30,DUS,LON,3,0
2017-04-28 17:50:02,search,6163e4,2017-05-07,2017-05-16,NCE,OSA,1,0
2017-04-27 11:50:58,search,0d1c6a,2017-06-28,2017-06-30,BER,VIE,3,0
2017-04-27 22:39:53,search,6600e0,2017-10-05,2017-10-20,FRA,IST,2,0
2017-04-27 23:10:11,search,948ead,2017-07-17,2017-07-17,MUC,AKL,1,0
2017-04-27 19:44:12,book,b5c83e,2017-04-30,2017-04-30,LYS,LIS,1,0
2017-04-29 21:02:10,search,c09cb7,2017-12-13,2017-12-18,MUC,STN,2,0
2017-04-29 17:33:40,search,3ed1da,2017-05-18,2017-05-18,STR,BER,1,0
2017-04-29 11:13:23,search,75ce1b,2017-05-06,2017-05-08,DUS,BER,2,0
2017-04-30 00:16:55,search,5a81e9,2017-05-02,2017-05-03,FRA,WAW,1,0
2017-04-29 18:05:16,search,6b4d3b,2017-05-01,2017-05-04,PAR,MEX,2,0
2017-04-29 13:51:27,search,c9d743,2018-02-14,2018-02-19,DUS,PMI,1,0
2017-04-23 23:32:23,search,c28486,2018-01-02,2018-01-13,MUC,BKK,1,0
2017-04-23 09:31:10,book,a93858,2017-11-16,2017-11-20,STR,VIE,5,0
2017-04-24 01:35:43,search,0a3a7d,2017-07-22,2017-07-22,AGP,MUC,3,0
2017-04-24 03:11:39,search,ae9720,2018-03-10,2018-03-10,PTY,BOS,2,0
2017-04-23 17:09:36,search,bb3225,2017-05-14,2017-05-16,HAM,IST,1,0
2017-04-23 11:16:22,search,cb03ea,2018-04-17,2018-04-17,HAM,MOW,2,0
2017-04-23 16:52:21,search,7c609b,2017-04-24,2017-04-28,BUH,FRA,1,0
2017-04-24 02:44:48,search,7904c5,2017-07-07,2017-07-14,HAM,PMI,2,1
2017-04-29 13:53:39,search,db41ad,2017-06-08,2017-06-15,HAM,LON,1,0
2017-04-29 13:54:56,search,54df84,2017-06-12,2017-06-16,HAM,IEV,1,0
2017-04-29 21:24:06,search,b32ef3,2017-05-02,2017-05-08,PAR,NYC,1,0
2017-04-29 19:05:55,search,ee3529,2017-05-22,2017-05-24,DUS,BER,2,0
2017-04-29 15:01:08,search,f38381,2017-05-01,2017-05-02,BER,BCN,2,0
2017-04-29 21:16:22,search,1d5072,2017-05-06,2017-05-06,BER,ZRH,1,0
2017-04-29 21:08:47,search,73dad7,2017-07-06,2017-07-09,CGN,BER,2,0
2017-04-29 21:53:20,search,b11e4e,2017-07-11,2017-07-15,TLS,GVA,1,0
2017-04-24 02:05:49,book,1f2585,2017-04-27,2017-05-02,FRA,PMI,1,0
2017-04-24 01:13:10,book,5b6902,2017-09-23,2017-10-29,BOM,DUS,2,0
2017-04-23 22:46:15,search,39fcda,2017-04-30,2017-05-02,CDG,NCE,1,0
2017-04-23 14:53:33,search,ce3936,2017-05-14,2017-05-19,BER,TYO,1,0
2017-04-24 02:04:56,book,d0ec33,2017-05-29,2017-06-02,BER,AYT,2,0
2017-04-24 01:50:02,search,52a560,2017-07-05,2017-07-10,DUS,LIS,2,2
2017-04-23 19:38:12,search,7f416e,2017-09-14,2017-09-24,DUS,HKT,3,1
2017-04-29 18:10:50,book,75ce1b,2017-05-06,2017-05-08,DUS,BER,2,0
2017-04-29 15:59:56,search,82c0c6,2018-03-19,2018-04-05,DUS,BKK,2,0
2017-04-29 20:46:48,search,aa767c,2017-05-03,2017-05-05,DUS,LON,2,0
2017-04-30 02:39:01,search,59e831,2017-05-05,2017-05-08,PAR,VIE,1,0
2017-04-29 21:37:51,search,6df4fb,2017-10-12,2017-10-23,DUS,PMI,2,0
2017-04-29 14:27:19,search,7a29d0,2017-07-20,2017-07-27,TXL,PMI,2,0
2017-04-30 00:18:55,search,774cb1,2017-07-20,2017-07-22,PAR,NCE,2,0
2017-04-30 02:05:27,search,d6a1e5,2017-04-30,2017-04-30,DUS,PAR,2,0
2017-04-29 17:27:53,book,24da91,2017-07-26,2017-08-09,FRA,MOW,1,0
2017-04-29 14:52:31,search,eec403,2017-05-03,2017-05-06,HAM,LHR,1,0
2017-04-29 21:49:11,search,a7abd7,2017-05-22,2017-05-22,SAW,CGN,1,0
2017-04-29 14:23:00,search,53eec8,2017-05-05,2017-05-07,FRA,TXL,1,0
2017-04-29 13:08:04,search,53eec8,2017-05-05,2017-05-07,FRA,TXL,1,0
2017-04-29 14:23:01,search,53eec8,2017-05-05,2017-05-07,FRA,TXL,1,0
